Date,Medicine_ID,Medicine_Name,Category,Quantity_Sold,Price,Total_Amount,Day_of_Week,Is_Weekend,Month,Season,Year,Week_of_Year
2022-01-01,8277,Rcifax 550 Tablet,Gastrointestinal,18,198.63,3575.34,Saturday,True,1,Winter,2022,52
2022-01-01,6732,Nebipil SA Tablet,Cardiovascular,25,461.6,11540.0,Saturday,True,1,Winter,2022,52
2022-01-01,5161,ME 12 OD Tablet ER,Supplement,18,206.59,3718.62,Saturday,True,1,Winter,2022,52
2022-01-01,6346,Norflokem 400mg Tablet,Antibiotic,24,228.12,5474.88,Saturday,True,1,Winter,2022,52
2022-01-01,324,Asthakind-DX Syrup Sugar Free,Respiratory,25,300.61,7515.25,Saturday,True,1,Winter,2022,52
2022-01-01,179,Alex Syrup Sugar Free,Respiratory,18,470.17,8463.06,Saturday,True,1,Winter,2022,52
2022-01-01,3440,Hyalgan Injection,Anti-inflammatory,16,121.69,1947.04,Saturday,True,1,Winter,2022,52
2022-01-01,6320,Nefosar Tablet,Analgesic,7,125.5,878.5,Saturday,True,1,Winter,2022,52
2022-01-01,7373,Pause 500 Tablet,Other,9,374.87,3373.83,Saturday,True,1,Winter,2022,52
2022-01-01,680,Amloz AT Tablet,Cardiovascular,17,323.0,5491.0,Saturday,True,1,Winter,2022,52
2022-01-01,6219,Naso B12 Nasal Spray,Supplement,10,370.91,3709.1,Saturday,True,1,Winter,2022,52
2022-01-01,7602,Pixelub Multi Eye Drop,Ophthalmic,24,109.83,2635.92,Saturday,True,1,Winter,2022,52
2022-01-01,2077,Enzoflam SV  Tablet,Analgesic,22,147.2,3238.4,Saturday,True,1,Winter,2022,52
2022-01-01,5377,Moza 5 Tablet,Respiratory,25,13.28,332.0,Saturday,True,1,Winter,2022,52
2022-01-01,439,Amitax 500mg Injection,Antibiotic,22,137.09,3015.98,Saturday,True,1,Winter,2022,52
2022-01-01,10450,Tacvido Ointment,Dermatological,13,249.65,3245.45,Saturday,True,1,Winter,2022,52
2022-01-01,1158,Betnesol Tablet,Antihistamine,20,308.03,6160.6,Saturday,True,1,Winter,2022,52
2022-01-01,8868,Rizora ODS 5 Disintegrating Strip,Analgesic,6,350.3,2101.8,Saturday,True,1,Winter,2022,52
2022-01-01,3233,Gastrozin 75mg Tablet,Supplement,13,76.87,999.31,Saturday,True,1,Winter,2022,52
2022-01-01,9831,Tsart 40 Tablet,Cardiovascular,17,435.17,7397.89,Saturday,True,1,Winter,2022,52
2022-01-01,7215,Olmat MT 50 Tablet ER,Cardiovascular,18,17.41,313.38,Saturday,True,1,Winter,2022,52
2022-01-01,2580,Fabiflu Tablet,Antiviral,14,309.94,4339.16,Saturday,True,1,Winter,2022,52
2022-01-01,11535,Zyncet Tablet,Antihistamine,15,352.81,5292.15,Saturday,True,1,Winter,2022,52
2022-01-01,9624,Tryptomer 25mg Tablet,Analgesic,16,9.27,148.32,Saturday,True,1,Winter,2022,52
2022-01-01,7165,Oxuba OD Tablet SR,Anti-inflammatory,12,284.95,3419.4,Saturday,True,1,Winter,2022,52
2022-01-01,1321,Breaze-L Tablet,Antipyretic,30,252.46,7573.8,Saturday,True,1,Winter,2022,52
2022-01-01,11500,Zanocin 100 Liquid,Antibiotic,18,328.96,5921.28,Saturday,True,1,Winter,2022,52
2022-01-01,8214,Rapitus Syrup Sugar Free,Respiratory,33,444.47,14667.51,Saturday,True,1,Winter,2022,52
2022-01-01,8159,Qron 20mg/ml Injection,Supplement,21,59.34,1246.14,Saturday,True,1,Winter,2022,52
2022-01-01,4528,Lupinem 500mg Injection,Antibiotic,17,177.02,3009.34,Saturday,True,1,Winter,2022,52
2022-01-01,9715,Theo-Asthalin Tablet,Respiratory,19,106.67,2026.73,Saturday,True,1,Winter,2022,52
2022-01-01,5434,Miontizee-L Tablet,Antipyretic,22,391.98,8623.56,Saturday,True,1,Winter,2022,52
2022-01-01,8099,Pantosun-DSR Capsule,Respiratory,20,327.92,6558.4,Saturday,True,1,Winter,2022,52
2022-01-01,660,Amlodac 10 Tablet,Analgesic,8,44.27,354.16,Saturday,True,1,Winter,2022,52
2022-01-01,1467,Diprobate RD Cream,Antihistamine,19,68.96,1310.24,Saturday,True,1,Winter,2022,52
2022-01-01,6652,Novonorm 0.5mg Tablet,Antidiabetic,5,162.26,811.3,Saturday,True,1,Winter,2022,52
2022-01-01,10967,Venpres 40mg Tablet,Cardiovascular,8,270.38,2163.04,Saturday,True,1,Winter,2022,52
2022-01-01,2230,Evict Fibre Granules,Gastrointestinal,12,281.19,3374.28,Saturday,True,1,Winter,2022,52
2022-01-01,6755,Nuplene-C Gel,Other,11,65.11,716.21,Saturday,True,1,Winter,2022,52
2022-01-01,5203,Montecip LC Tablet,Antipyretic,15,423.81,6357.15,Saturday,True,1,Winter,2022,52
2022-01-02,4670,Lotesurge Ophthalmic Suspension,Ophthalmic,1,44.01,44.01,Sunday,True,1,Winter,2022,52
2022-01-02,8780,Remo M 100mg/1000mg Tablet,Antidiabetic,11,402.04,4422.44,Sunday,True,1,Winter,2022,52
2022-01-02,7058,Optiqmega Capsule,Supplement,14,368.0,5152.0,Sunday,True,1,Winter,2022,52
2022-01-02,4831,Losatan H Tablet,Cardiovascular,4,125.33,501.32,Sunday,True,1,Winter,2022,52
2022-01-02,8451,Romilast L 10 Tablet,Antipyretic,23,356.75,8205.25,Sunday,True,1,Winter,2022,52
2022-01-02,4875,Lee Dott Oral Powder,Gastrointestinal,18,434.3,7817.4,Sunday,True,1,Winter,2022,52
2022-01-02,2398,Etoroxi 120 Tablet,Analgesic,12,335.67,4028.04,Sunday,True,1,Winter,2022,52
