Date,Temperature_Min,Temperature_Max,Temperature_Avg,Humidity,Rainfall,Season
2022-01-01,12.2,25.4,18.8,59.3,0.0,Winter
2022-01-02,17.6,24.9,21.2,54.3,0.0,Winter
2022-01-03,12.8,23.7,18.2,52.8,0.0,Winter
2022-01-04,16.9,30.0,23.4,64.5,0.0,Winter
2022-01-05,14.2,27.2,20.7,63.2,0.0,Winter
2022-01-06,17.9,25.3,21.6,54.5,0.0,Winter
2022-01-07,13.3,25.1,19.2,66.4,0.0,Winter
2022-01-08,12.6,28.0,20.3,54.9,0.0,Winter
2022-01-09,15.9,29.9,22.9,56.3,0.0,Winter
2022-01-10,15.2,26.5,20.9,67.0,0.0,Winter
2022-01-11,10.8,28.7,19.8,55.0,0.0,Winter
2022-01-12,13.0,26.8,19.9,58.6,0.0,Winter
2022-01-13,13.1,26.9,20.0,65.9,0.0,Winter
2022-01-14,12.9,25.2,19.0,58.8,0.0,Winter
2022-01-15,14.0,29.5,21.8,56.0,0.0,Winter
2022-01-16,10.2,26.1,18.2,68.6,0.0,Winter
2022-01-17,11.7,22.9,17.3,64.5,0.0,Winter
2022-01-18,16.5,27.9,22.2,52.3,0.0,Winter
2022-01-19,17.3,24.3,20.8,63.0,0.0,Winter
2022-01-20,15.5,28.7,22.1,50.2,0.0,Winter
2022-01-21,14.5,24.1,19.3,65.6,0.0,Winter
2022-01-22,10.8,29.0,19.9,65.3,0.0,Winter
2022-01-23,10.4,28.3,19.4,52.5,0.0,Winter
2022-01-24,15.9,27.3,21.6,60.4,0.0,Winter
2022-01-25,12.0,28.5,20.3,52.6,0.0,Winter
2022-01-26,13.5,29.3,21.4,58.5,2.1,Winter
2022-01-27,15.5,27.9,21.7,57.6,0.0,Winter
2022-01-28,16.7,28.4,22.6,63.8,0.0,Winter
2022-01-29,14.6,26.2,20.4,65.6,0.0,Winter
2022-01-30,16.5,23.6,20.0,63.0,0.0,Winter
2022-01-31,13.3,28.0,20.7,54.1,0.0,Winter
