Date,Medicine_ID,Medicine_Name,Category,Quantity_Sold,Price,Total_Amount,Day_of_Week,Is_Weekend,Month,Season_x,Year,Week_of_Year,Temperature_Min,Temperature_Max,Temperature_Avg,Humidity,Rainfall,Season_y,Sales_Lag_7,Sales_Lag_14,Sales_Lag_30,Rolling_Avg_7,Rolling_Avg_14,Rolling_Avg_30,Growth_Rate_7
2023-05-24,29,Atarax Syrup,Dermatological,30,22.41,672.3,Wednesday,False,5,Summer,2023,21,26.6,41.3,33.9,32.2,0.0,Summer,17.0,13.0,17.0,26.857142857142858,20.071428571428573,21.1,0.7222222222222222
2023-06-08,29,Atarax Syrup,Dermatological,29,22.41,649.89,Thursday,False,6,Monsoon,2023,23,23.3,30.3,26.8,71.6,102.9,Monsoon,30.0,19.0,14.0,26.714285714285715,20.785714285714285,21.6,-0.03225806451612903
2023-06-13,29,Atarax Syrup,Dermatological,23,22.41,515.43,Tuesday,False,6,Monsoon,2023,24,25.9,33.3,29.6,90.5,105.3,Monsoon,36.0,21.0,10.0,24.857142857142858,20.928571428571427,22.033333333333335,-0.35135135135135137
2023-07-10,29,Atarax Syrup,Dermatological,10,22.41,224.1,Monday,False,7,Monsoon,2023,28,22.6,32.3,27.5,74.8,0.0,Monsoon,8.0,12.0,34.0,25.142857142857142,20.785714285714285,21.233333333333334,0.2222222222222222
2023-07-27,29,Atarax Syrup,Dermatological,17,22.41,380.97,Thursday,False,7,Monsoon,2023,30,26.2,28.2,27.2,71.9,121.9,Monsoon,17.0,1.0,23.0,25.142857142857142,21.928571428571427,21.033333333333335,0.0
2023-08-07,29,Atarax Syrup,Dermatological,19,22.41,425.79,Monday,False,8,Monsoon,2023,32,23.0,33.1,28.0,79.7,126.3,Monsoon,35.0,2.0,9.0,22.857142857142858,23.142857142857142,21.366666666666667,-0.4444444444444444
2023-08-19,29,Atarax Syrup,Dermatological,30,22.41,672.3,Saturday,True,8,Monsoon,2023,33,27.0,30.4,28.7,86.1,125.6,Monsoon,32.0,21.0,26.0,22.571428571428573,23.785714285714285,21.5,-0.06060606060606061
2023-08-21,29,Atarax Syrup,Dermatological,39,22.41,873.99,Monday,False,8,Monsoon,2023,34,27.8,32.9,30.3,72.7,0.0,Monsoon,30.0,17.0,43.0,23.857142857142858,25.357142857142858,21.366666666666667,0.2903225806451613
2023-10-11,29,Atarax Syrup,Dermatological,21,22.41,470.61,Wednesday,False,10,Spring,2023,41,18.5,32.0,25.3,59.3,0.0,Spring,29.0,30.0,41.0,22.714285714285715,24.714285714285715,20.7,-0.26666666666666666
2023-11-21,29,Atarax Syrup,Dermatological,11,22.41,246.51,Tuesday,False,11,Spring,2023,47,24.6,33.3,28.9,68.4,0.0,Spring,23.0,36.0,22.0,21.0,22.928571428571427,20.333333333333332,-0.5
